subject,stratum,baseline_dice,adapted_dice,dice_change,baseline_precision,adapted_precision,baseline_recall,adapted_recall
108,hard,0.9558242067939178,0.8617585719565214,-0.09406563483739638,0.9962063571829298,1.0,0.9185883734995811,0.7570964741968641
075,hard,0.962518186647681,0.8854960249593167,-0.07702216168836429,0.9970733885695858,1.0,0.9302778914500844,0.7945202931438563
111,hard,0.9633369193502604,0.8774283027291986,-0.08590861662106186,0.9967962409227986,0.9999870083752674,0.9320508958242797,0.7816313336289507
051,hard,0.963657946400728,0.8943122497412256,-0.06934569665950241,0.9977153121357216,0.9997817517152952,0.9318489522040613,0.8089717741935484
110,hard,0.9642583160887301,0.8763436693033521,-0.08791464678537808,0.9940435775571708,0.9990094497563153,0.936206082188126,0.7805072121498383
074,hard,0.9662741121985042,0.8956312586110633,-0.07064285358744093,0.9959870835529216,0.9996066854004464,0.9382826200682136,0.8112481924745408
015,hard,0.9666193747921036,0.9123381279790779,-0.05428124681302571,0.9935686839976102,0.9994362552562266,0.9410933923143527,0.8392038179490164
106,hard,0.967053817738597,0.8857592183492836,-0.08129459938931338,0.9919497326331492,1.0,0.9433769798604036,0.7949441744871842
058,hard,0.9692856944961769,0.9035006865538792,-0.06578500794229769,0.9980275089150065,0.9999906620599496,0.942152989110706,0.8239928903115106
062,hard,0.9716676439483983,0.9005006536423867,-0.07116699030601159,0.9959185882027133,0.9999460686276713,0.9485696615872478,0.8190459011444916
080,median,0.9776944834092622,0.9174387238135301,-0.06025575959573215,0.9933220931638745,0.9998086184028984,0.9625509853727147,0.8476079795643463
061,median,0.978497496109991,0.916480040374364,-0.062017455735627,0.9980710010035089,1.0,0.9596769498224357,0.8458358632276739
054,median,0.9788573765753448,0.9123645001632721,-0.06649287641207269,0.9950553284010313,0.9994622549753105,0.9631783326214852,0.8392301138259903
095,median,0.9788857465115632,0.9163013134819799,-0.06258443302958339,0.9983132178482019,0.9999951176642906,0.9601999702785631,0.8455349328753777
096,median,0.9789102546607453,0.915919818166392,-0.06299043649435332,0.9984407395350302,0.9999463736392311,0.9601291816179779,0.8449202707211679
076,median,0.9789575313475234,0.9206102888153901,-0.0583472425321333,0.9948093331378877,0.9999857152380317,0.9636029874643685,0.8529092836343404
047,median,0.9789844343968032,0.9150592792831145,-0.06392515511368868,0.998758991190521,1.0,0.9599777130810107,0.8434186880537398
090,median,0.9794197867596688,0.9173919934636875,-0.06202779329598129,0.998449094305415,1.0,0.9611022673863997,0.8473907341575869
056,median,0.9796220135883548,0.9183129497833921,-0.061309063804962705,0.9980997300251454,1.0,0.9618160138147666,0.8489636162321623
055,median,0.9796321090905796,0.9191236776319962,-0.06050843145858342,0.9975877432185132,1.0,0.9623114154379406,0.8503504597254598
121,easy,0.983818846010373,0.9334517217707293,-0.050367124239643624,0.9963872375413936,1.0,0.9715635791832478,0.875208127775037
041,easy,0.9838229584579555,0.9327035772275416,-0.05111938123041393,0.9973087245305404,1.0,0.9706970397902461,0.8738936600243705
013,easy,0.984199429313903,0.9344567005911391,-0.049742728722763974,0.9958721840833268,0.9999918479811525,0.9727971403057876,0.8769830205540662
130,easy,0.9842505976626744,0.933364423956521,-0.05088617370615345,0.9941754235475724,0.9999423509291109,0.9745219716483762,0.8750988009350352
129,easy,0.9844236760130979,0.9331986252871182,-0.051225050725979715,0.9943179941202539,0.9997779710252188,0.9747243316784012,0.8749332081154164
124,easy,0.9844545773985769,0.932588486140725,-0.05186609125785191,0.9953448106893482,0.9999908548016864,0.9738000687179852,0.8736985929222632
104,easy,0.9846615959975664,0.9337915468232012,-0.05087004917436522,0.9960814398643109,0.999966429716415,0.9735006358396733,0.8758315507824846
011,easy,0.9847280135430888,0.9345207724538862,-0.0502072410892026,0.9946630544209553,0.9999834554869877,0.9749894791851091,0.8771023494072064
101,easy,0.9850578280137567,0.9356657479310481,-0.04939208008270868,0.9951965817859345,1.0,0.9751235718354048,0.8791089322853362
122,easy,0.9852907415308907,0.933780596013591,-0.05151014551729971,0.9950813156242687,0.999972189003532,0.9756909486558011,0.875807865934851
