slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.6634460547504025,0.4963855421686747,1672,0,1672,1648,first 20%,True,True
1,0.8372423596304194,0.7200488997555012,839,77,916,2433,first 20%,True,True
2,0.8247721024453769,0.7017975868012805,1099,112,1211,2962,first 20%,True,True
3,0.8786706775533591,0.7835973428717424,702,145,847,3212,first 20%,True,True
4,0.8617463617463618,0.7570776255707763,932,132,1064,3448,first 20%,True,True
5,0.8761904761904762,0.7796610169491526,655,346,1001,3888,first 20%,True,True
6,0.9052496798975672,0.8269005847953217,453,287,740,3822,first 20%,True,True
7,0.9188060434836015,0.8498068620768007,547,114,661,3854,middle 60%,True,True
8,0.9347270615563299,0.8774531181857829,514,48,562,4072,middle 60%,True,True
9,0.9577526610336882,0.9189303011160245,305,80,385,4444,middle 60%,True,True
10,0.9537662337662338,0.9116186693147964,359,86,445,4676,middle 60%,True,True
11,0.9664665700683088,0.9351091528139395,226,98,324,4767,middle 60%,True,True
12,0.9712460063897763,0.9440993788819876,235,62,297,5078,middle 60%,True,True
13,0.967692747545983,0.9374076809453471,271,68,339,5145,middle 60%,True,True
14,0.9655810510732791,0.9334525939177102,308,64,372,5282,middle 60%,True,True
15,0.9579276134484659,0.9192524682651622,405,53,458,5267,middle 60%,True,True
16,0.9627754336615096,0.9282227445308262,317,80,397,5214,middle 60%,True,True
17,0.9539553563089568,0.9119642857142857,393,100,493,5207,middle 60%,True,True
18,0.9648952676493405,0.9321716320029979,262,100,362,5075,middle 60%,True,True
19,0.958560743885183,0.9204192546583851,272,138,410,4880,middle 60%,True,True
20,0.9030723488602577,0.8232743043006867,879,99,978,4655,middle 60%,True,True
21,0.8774341351660939,0.7816326530612245,1085,92,1177,4305,middle 60%,True,True
22,0.8484395040615648,0.7367737144978652,1337,81,1418,4050,middle 60%,True,True
23,0.8369813041495668,0.7196628112134875,1361,69,1430,3740,middle 60%,True,True
24,0.8687698833510075,0.7679868760253106,912,78,990,3355,middle 60%,True,True
25,0.8617305976806423,0.7570532915360502,852,78,930,2976,middle 60%,True,True
26,0.8254486133768353,0.7027777777777777,891,72,963,2349,middle 60%,True,True
27,0.8041838968620774,0.6724979658258747,744,61,805,1714,middle 60%,True,True
28,0.7715487035739313,0.6280661722760981,597,55,652,1156,last 20%,True,True
29,0.75650623885918,0.6083715596330275,664,19,683,1080,last 20%,True,True
30,0.8101065929727596,0.6808228268082283,404,77,481,1103,last 20%,True,True
31,0.8326455754241173,0.7132757266300078,259,106,365,1014,last 20%,True,True
32,0.8063687724704673,0.6755593803786575,269,108,377,893,last 20%,True,True
33,0.8140703517587939,0.6864406779661016,92,130,222,616,last 20%,True,True
34,0.715311004784689,0.5567970204841713,209,29,238,328,last 20%,True,True
35,0.0,0.0,24,0,24,0,empty expert,False,True
