slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.39477193918378234,0.24592888002658692,2269,0,2269,740,first 20%,True,True
1,0.6092557251908397,0.43807890222984563,1638,0,1638,1277,first 20%,True,True
2,0.7887270663892567,0.6511555277951281,1117,0,1117,2085,first 20%,True,True
3,0.8715240018642224,0.7723017621145375,806,21,827,2826,first 20%,True,True
4,0.8912139888204099,0.8037745604963805,653,106,759,3215,first 20%,True,True
5,0.8943965517241379,0.8089668615984406,636,148,784,3468,first 20%,True,True
6,0.8847184986595175,0.7932692307692307,721,182,903,3647,first 20%,True,True
7,0.8876265744628303,0.7979573712255773,653,257,910,3851,middle 60%,True,True
8,0.8693609022556391,0.7689110556940981,916,196,1112,3896,middle 60%,True,True
9,0.8706035605731655,0.7708573625528643,1123,69,1192,4079,middle 60%,True,True
10,0.8718724778046812,0.7728492219638705,1226,44,1270,4365,middle 60%,True,True
11,0.8844328199166909,0.7928100034734282,1122,71,1193,4636,middle 60%,True,True
12,0.8927453769559033,0.8062692702980473,1043,88,1131,4795,middle 60%,True,True
13,0.9102885239818165,0.8353482036437936,902,65,967,4971,middle 60%,True,True
14,0.9308153259487925,0.8705842391304348,696,66,762,5192,middle 60%,True,True
15,0.9463802130348439,0.8982179575051406,522,72,594,5314,middle 60%,True,True
16,0.9570868945868946,0.917705309885607,408,74,482,5449,middle 60%,True,True
17,0.9699086512627619,0.9415753781950965,296,40,336,5455,middle 60%,True,True
18,0.9717606465086716,0.9450724125750618,263,48,311,5399,middle 60%,True,True
19,0.9746117362596485,0.9504806820243061,220,53,273,5293,middle 60%,True,True
20,0.9567434831885153,0.9170740539561832,405,53,458,5118,middle 60%,True,True
21,0.922360248447205,0.8559077809798271,736,64,800,4816,middle 60%,True,True
22,0.8935526183028958,0.8075870873609338,1009,46,1055,4474,middle 60%,True,True
23,0.8776398174678977,0.7819591527987897,1113,40,1153,4175,middle 60%,True,True
24,0.8648465703971119,0.7618763665275293,1155,43,1198,3876,middle 60%,True,True
25,0.8738130934532734,0.7759041491013978,973,37,1010,3534,middle 60%,True,True
26,0.8885689605528362,0.7994818652849741,729,45,774,3131,middle 60%,True,True
27,0.8772486772486773,0.7813383600377003,635,61,696,2548,middle 60%,True,True
28,0.8283996299722479,0.7070667193051717,710,32,742,1823,middle 60%,True,True
29,0.8066465256797583,0.6759493670886076,603,37,640,1372,middle 60%,True,True
30,0.8573770491803279,0.7503586800573888,338,10,348,1056,last 20%,True,True
31,0.9312445604873804,0.8713355048859935,117,41,158,1111,last 20%,True,True
32,0.936150234741784,0.8799646954986761,80,56,136,1053,last 20%,True,True
33,0.9390642002176278,0.8851282051282051,38,74,112,937,last 20%,True,True
34,0.8953804347826086,0.8105781057810578,78,76,154,735,last 20%,True,True
35,0.8105515587529976,0.6814516129032258,108,50,158,388,last 20%,True,True
36,0.7025641025641025,0.541501976284585,73,43,116,180,last 20%,True,True
37,1.0,1.0,0,0,0,0,empty expert,False,False
