slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.5853962970667776,0.4138235294117647,1993,0,1993,1407,first 20%,True,True
1,0.7793077781912914,0.6384146341463415,1181,5,1186,2099,first 20%,True,True
2,0.8254620123203286,0.7027972027972028,1079,26,1105,2639,first 20%,True,True
3,0.8385326400924321,0.7219597115145486,1021,97,1118,3000,first 20%,True,True
4,0.836233231504848,0.7185574069847067,979,254,1233,3402,first 20%,True,True
5,0.8529067499024581,0.7435374149659864,854,277,1131,3556,first 20%,True,True
6,0.8490818436093883,0.7377430262045647,1025,216,1241,3707,first 20%,True,True
7,0.8653536479623436,0.7626637554585153,1072,15,1087,3508,middle 60%,True,True
8,0.8698130414956681,0.7696187210006052,1128,14,1142,3829,middle 60%,True,True
9,0.8712998712998713,0.7719498289623717,1170,30,1200,4092,middle 60%,True,True
10,0.8951150921778981,0.8101432880844646,960,47,1007,4344,middle 60%,True,True
11,0.9112116641528406,0.8369043221278167,824,59,883,4590,middle 60%,True,True
12,0.938137321549966,0.8834827144686299,560,77,637,4907,middle 60%,True,True
13,0.9482626956853761,0.9016155382102015,453,89,542,5056,middle 60%,True,True
14,0.9520178538218337,0.9084294587400178,457,59,516,5178,middle 60%,True,True
15,0.9622641509433962,0.9272727272727272,325,75,400,5175,middle 60%,True,True
16,0.9420842242260853,0.8905096660808436,546,77,623,5144,middle 60%,True,True
17,0.9522722951131394,0.9088929219600725,392,110,502,5118,middle 60%,True,True
18,0.8659313066092728,0.7635616005060889,1391,104,1495,4932,middle 60%,True,True
19,0.8378645132346344,0.7209697344039531,1706,101,1807,4770,middle 60%,True,True
20,0.8039017208061102,0.6721034005231574,2022,109,2131,4477,middle 60%,True,True
21,0.8038660548667382,0.6720535422788116,1924,85,2009,4202,middle 60%,True,True
22,0.8186036473508147,0.6929119473876507,1628,53,1681,3846,middle 60%,True,True
23,0.8132465996451803,0.6852700817221447,1528,51,1579,3489,middle 60%,True,True
24,0.7992010652463382,0.6655577733422045,1438,70,1508,3071,middle 60%,True,True
25,0.7776179056754596,0.6361496207167147,1321,70,1391,2502,middle 60%,True,True
26,0.7398293312165112,0.5870866141732284,1225,86,1311,1950,middle 60%,True,True
27,0.6969619606841971,0.5348746081504702,1110,77,1187,1442,last 20%,True,True
28,0.7024147727272727,0.5413245758073344,821,17,838,1006,last 20%,True,True
29,0.7444574095682613,0.5929368029739777,601,56,657,1013,last 20%,True,True
30,0.7503168567807351,0.6004056795131846,462,129,591,1017,last 20%,True,True
31,0.7358390682901006,0.5820770519262981,309,190,499,885,last 20%,True,True
32,0.6725925925925926,0.5066964285714286,243,199,442,653,last 20%,True,True
33,0.6002430133657352,0.4288194444444444,218,111,329,358,last 20%,True,True
34,0.0,0.0,194,0,194,0,empty expert,False,True
35,0.0,0.0,65,0,65,0,empty expert,False,True
